date,open,high,low,close,volume,pct,ma5,ma10,ma20,ma60,ma120,ma250
1991-04-12,119.2,119.65,119.15,119.21,39900,-0.3594115680374488,120.144,120.76299999999999,121.58099999999999,128.0825,,
1991-04-15,118.73,119.22,118.72,118.77,30100,-0.36909655230266125,119.67999999999999,120.56699999999998,121.28399999999999,127.8245,,
1991-04-16,118.36,118.77,118.34,118.34,10500,-0.3620442872779295,119.224,120.28,120.99000000000001,127.5595,,
1991-04-17,117.92,118.34,117.89,117.9,20100,-0.37181003887104547,118.772,119.899,120.702,127.28716666666668,,
1991-04-18,117.45,117.93,117.45,117.45,17800,-0.3816793893129833,118.33399999999999,119.47200000000001,120.4185,127.016,,
1991-04-19,117.08,117.5,117.05,117.08,64600,-0.3150276713495104,117.90799999999999,119.02600000000002,120.1415,126.74783333333333,,
1991-04-22,116.63,117.08,116.58,116.63,43000,-0.38435257943286727,117.48000000000002,118.58,119.867,126.48150000000001,,
1991-04-23,116.21,116.63,116.15,116.19,28200,-0.37726142501929294,117.05,118.13700000000001,119.59549999999999,126.21716666666666,,
1991-04-24,115.7,116.19,115.7,115.79,14800,-0.34426370599879297,116.628,117.7,119.329,125.95599999999999,,
1991-04-25,115.38,115.79,115.33,115.36,149500,-0.371361948354787,116.21,117.272,119.06649999999999,125.69616666666667,,
1991-04-26,116.31,116.31,114.52,115.56,1335400,0.173370319001398,115.90599999999999,116.90700000000001,118.83500000000001,125.44816666666665,,
1991-04-29,114.86,116.29,114.75,114.75,841100,-0.7009345794392496,115.53,116.50500000000002,118.53600000000002,125.1945,,
1991-04-30,113.89,114.87,113.89,113.94,485000,-0.7058823529411784,115.08,116.06499999999998,118.17250000000001,124.935,,
1991-05-02,113.04,113.2,113.03,113.16,146500,-0.6845708267509187,114.554,115.59100000000001,117.745,124.67016666666667,,
1991-05-03,112.46,113.17,112.3,112.41,423000,-0.6627783669141074,113.96399999999998,115.08700000000002,117.27949999999998,124.40066666666667,,
1991-05-06,111.65,112.41,111.57,111.61,276400,-0.7116804554754941,113.174,114.53999999999999,116.78299999999999,124.1085,,
1991-05-07,110.8,110.9,110.8,110.82,187500,-0.7078218797598845,112.388,113.95899999999999,116.26950000000002,123.79233333333333,,
1991-05-08,110.16,110.82,110.0,110.03,42300,-0.7128677134091266,111.606,113.34299999999999,115.73999999999998,123.45316666666666,,
1991-05-09,109.36,110.12,109.29,109.29,226600,-0.6725438516768101,110.832,112.69300000000001,115.19649999999999,123.09183333333334,,
1991-05-10,108.61,109.4,108.53,108.53,24900,-0.6953975661085243,110.056,112.00999999999999,114.641,122.71149999999999,,
1991-05-13,107.88,107.88,107.74,107.84,23500,-0.6357689118216103,109.30199999999999,111.23800000000001,114.07250000000002,122.31016666666666,,
1991-05-14,107.21,107.84,107.06,107.19,26700,-0.602744807121669,108.576,110.482,113.4935,121.88783333333335,,
1991-05-15,106.56,106.6,106.42,106.57,39000,-0.5784121653139351,107.88399999999999,109.745,112.905,121.44516666666667,,
1991-05-16,105.83,105.86,105.69,105.77,310800,-0.7506803040255194,107.17999999999999,109.006,112.29849999999999,120.98016666666668,,
1991-05-17,105.12,106.75,104.96,106.75,2019200,0.9265387160820593,106.824,108.44000000000001,111.7635,120.52133333333335,,
1991-05-20,107.76,107.82,106.71,107.82,86300,1.0023419203746942,106.81999999999998,108.06099999999999,111.30050000000001,120.07050000000001,,
1991-05-21,108.89,108.89,108.62,108.81,77100,0.9181969949916713,107.144,107.85999999999999,110.90950000000001,119.64399999999999,,
1991-05-22,109.71,109.82,108.11,108.25,1867700,-0.5146585791747094,107.47999999999999,107.68199999999999,110.5125,119.216,,
1991-05-23,107.52,109.16,107.35,109.08,560900,0.7667436489607438,108.14200000000001,107.66100000000002,110.17699999999999,118.8095,,
1991-05-24,110.07,110.08,109.82,110.08,102400,0.9167583425009118,108.80799999999999,107.816,109.91299999999998,118.42733333333334,,
1991-05-27,111.05,111.07,109.47,110.66,861900,0.5268895348837122,109.376,108.098,109.66799999999998,118.06283333333334,,
1991-05-28,111.61,111.68,111.36,111.68,163000,0.9217422736309544,109.95,108.547,109.5145,117.72433333333333,,
1991-05-29,112.75,112.75,111.67,112.75,53000,0.9580945558739229,110.85,109.165,109.455,117.4125,,
1991-05-30,113.74,113.82,112.77,113.82,38800,0.9490022172949031,111.798,109.97,109.48799999999999,117.12716666666667,,
1991-05-31,114.83,114.83,113.84,114.83,121100,0.8873660165173103,112.748,110.77799999999999,109.60900000000001,116.8675,,
1991-06-03,115.9,115.97,114.89,115.97,95400,0.9927719237133203,113.80999999999999,111.593,109.827,116.63550000000001,,
1991-06-04,117.12,117.12,116.83,117.12,360300,0.9916357678710019,114.898,112.424,110.14199999999998,116.43233333333335,,
1991-06-05,118.17,118.17,117.14,118.17,30800,0.8965163934426146,115.982,113.41600000000001,110.549,116.25566666666667,,
1991-06-06,118.17,118.17,117.14,118.17,26600,0.0,116.852,114.325,110.99300000000001,116.12266666666667,,
1991-06-07,120.46,120.47,119.35,120.47,10000,1.9463484810019471,117.97999999999999,115.36399999999999,111.58999999999999,116.03666666666666,,
1991-06-10,121.65,121.67,120.47,121.67,40000,0.9960986137627748,119.12,116.465,112.28149999999998,115.97833333333332,122.71383333333333,
1991-06-11,122.89,122.89,121.67,122.89,54300,1.0027122544587819,120.274,117.58600000000001,113.06650000000002,115.94800000000001,122.90474999999999,
1991-06-12,123.9,124.11,122.89,124.11,137200,0.9927577508340724,121.46200000000002,118.72200000000001,113.9435,115.94616666666666,123.06908333333332,
1991-06-13,125.33,125.34,123.65,125.34,2086800,0.9910563210055567,122.896,119.874,114.922,115.97416666666666,123.20416666666667,
1991-06-14,124.47,126.34,124.47,124.53,663300,-0.6462422211584551,123.708,120.84400000000001,115.811,115.99766666666666,123.28733333333335,
1991-06-17,125.63,125.77,123.54,125.77,693300,0.9957439974303428,124.52799999999999,121.824,116.7085,116.05016666666667,123.33333333333333,
1991-06-18,127.03,127.03,126.67,127.03,203000,1.0018287349924604,125.356,122.81500000000001,117.61949999999999,116.132,123.348,
1991-06-19,128.12,128.29,127.03,128.29,148100,0.9918916791308963,126.19200000000001,123.827,118.6215,116.24316666666667,123.37308333333334,
1991-06-20,129.55,129.57,129.21,129.57,229900,0.9977394964533426,127.03799999999998,124.96699999999998,119.646,116.384,123.39908333333334,
1991-06-21,130.72,130.86,128.81,130.86,1361300,0.9956008335263,128.304,126.00600000000001,120.68500000000002,116.55483333333333,123.42616666666666,
1991-06-24,132.1,132.17,131.8,132.17,196000,1.0010698456365485,129.584,127.056,121.76050000000001,116.75450000000001,123.45391666666666,
1991-06-25,133.48,133.49,132.17,133.49,162400,0.998713777710547,130.87600000000003,128.11599999999999,122.851,116.96716666666666,123.48183333333333,
1991-06-26,134.83,134.83,133.49,134.83,340900,1.003820510899689,132.184,129.18800000000002,123.955,117.19416666666666,123.51008333333334,
1991-06-27,136.04,136.19,134.83,136.19,449700,1.0086775940072679,133.508,130.273,125.07350000000001,117.43549999999999,123.5445,
1991-06-28,137.41,137.56,136.19,137.56,493500,1.00594757324326,134.848,131.576,126.21,117.6995,123.58516666666668,
1991-07-01,136.64,138.62,136.56,136.85,2294000,-0.5161384123291701,135.784,132.684,127.25399999999999,117.95466666666668,123.61441666666666,
1991-07-02,135.91,135.96,135.69,135.96,283800,-0.6503470953598711,136.27800000000002,133.577,128.196,118.20250000000001,123.63100000000001,
1991-07-03,135.28,135.96,134.98,135.27,271500,-0.5075022065313295,136.366,134.275,129.051,118.44666666666667,123.63658333333335,
1991-07-04,136.63,136.63,134.19,136.63,1339400,1.0053966141790438,136.454,134.981,129.974,118.72116666666668,123.65291666666667,
